"chamber","DISTRICT","PVI06","PVI08","PVI10","PVI","RPVI"
"house","25A",14.5691649723,7.7819434593,20.4973784894,14.2828289737,"GOP + 14"
"house","21A",-1.9194974407,4.203539823,26.4198721814,9.5679715212,"GOP + 10"
"house","25B",0.2606981624,-17.3124444005,-3.4982708167,-6.8500056849,"DFL + 7"
"house","21B",16.141327364,3.9447066757,27.038264146,15.7080993952,"GOP + 16"
"house","37A",-9.0079269757,-19.7694953063,-5.7202584569,-11.499226913,"DFL + 11"
"house","37B",-4.7574784519,5.0276698458,11.8794607454,4.0498840464,"GOP + 4"
"house","42A",-6.5055158988,-9.894086496,0.9966024915,-5.1343333011,"DFL + 5"
"house","31B",15.0345831817,23.3387435555,35.7528494301,24.7087253891,"GOP + 25"
"house","38B",12.9072887575,13.7235204193,18.4487316497,15.0265136088,"GOP + 15"
"house","38A",0.8591065292,7.8311410217,20.6994867896,9.7965781135,"GOP + 10"
"house","39A",7.7027276646,23.8246569814,27.4747347938,19.6673731466,"GOP + 20"
"house","32B",-0.5980546793,-6.204379562,18.1880490996,3.7952049528,"GOP + 4"
"house","32A",-1.6334211517,4.7809213117,11.7651419675,4.9708807092,"GOP + 5"
"house","11B",-10.2698750332,-7.0857083094,8.2068311195,-3.0495840744,"DFL + 3"
"house","08A",16.2723097494,15.449907445,31.7380352645,21.1534174863,"GOP + 21"
"house","04B",-49.528270766,-46.2995367988,-22.6136529747,-39.4804868465,"DFL + 39"
"house","02B",-15.7949548716,-9.3332017176,6.9833280906,-6.0482761662,"DFL + 6"
"house","01B",-18.8993201683,-16.4390756303,0.9625745277,-11.4586070903,"DFL + 11"
"house","08B",5.557178753,8.6562657272,27.8506254154,14.0213566319,"GOP + 14"
"house","09A",-1.144036009,1.3140604468,19.5976936181,6.589239352,"GOP + 7"
"house","02A",-6.2526924734,-8.4552429668,4.6037928612,-3.3680475263,"DFL + 3"
"house","01A",-8.4005376344,-7.2752406308,15.1305441963,-0.1817446896,"EVEN"
"house","10A",-4.3491428918,-21.4237999809,-6.8414283089,-10.8714570605,"DFL + 11"
"house","05B",-54.6641791045,-8.2384002347,2.4513847967,-20.1503981808,"DFL + 20"
"house","10B",-38.8921661161,-14.3011576055,2.7158851569,-16.8258128549,"DFL + 17"
"house","05A",-30.9778729479,-6.7364290386,-4.7047721758,-14.1396913874,"DFL + 14"
"house","11A",-39.8772613949,-31.7639455106,-20.7295965917,-30.7902678324,"DFL + 31"
"house","06A",-53.0388294879,-39.0395295655,-34.2486063338,-42.1089884624,"DFL + 42"
"house","06B",-57.6985869504,-54.2290871871,-39.7814695061,-50.5697145479,"DFL + 51"
"house","28B",-0.9760132341,1.5905947441,22.7683545871,7.7943120324,"GOP + 8"
"house","28A",-35.1441619522,-32.6449166916,-12.94160852,-26.9102290546,"DFL + 27"
"house","07B",-83.2133083681,-48.3295476055,-40.3369888881,-57.2932816206,"DFL + 57"
"house","03B",-56.0063694268,-32.6131734334,-23.1396083386,-37.2530503996,"DFL + 37"
"house","07A",-41.6753413753,-35.5854126679,-30.8898847631,-36.0502129355,"DFL + 36"
